phrase_id,clip_id,phrase_start,phrase_end,phrase_duration,english,best_spanish,english_syllables,spanish_syllables,syllable_diff,alternatives,emotion,emotion_confidence,source_file
english6_phrases_001,english6_phrases,0.0,4.38,4.38,"From challengers, I think the best part was I,","De los retadores, creo que la mejor parte era,",10,14,4,"De los aspirantes, creo que la mejor parte era, | De los candidatos, creo que la mejor parte era, | De los retadores, creo que la mejor parte fue, | De los retadores, creo que la mejor parte era yo,",joy,0.83,english6_phrases.txt
english6_phrases_002,english6_phrases,4.38,6.3,1.92,"you know, my fans know this about me.","Sabes, mis fans saben esto de mí.",8,10,2,"Saben, mis fans saben esto de mí. | Sabes, mis fans saben esto de mi. | Sabes, mis fans lo saben sobre mí. | Sabes, mis fans saben esto sobre mí.",neutral,0.75,english6_phrases.txt
english6_phrases_003,english6_phrases,6.3,8.66,2.36,I'm not the hugest fan of having to work out.,No soy el mayor fan de tener que amasar,11,12,1,No soy el mayor fan de tener que trabajar. | No soy el mayor fan de tener que entrenar. | No soy el mayor fan de tener que ejercitarme. | No soy el gran fan de tener que hacer ejercicio.,joy,0.72,english6_phrases.txt
english6_phrases_004,english6_phrases,8.66,11.06,2.4,"I don't necessarily look forward to it,",No necesariamente lo espero.,12,11,1,"No necesariamente lo espero, | No lo espero necesariamente. | No necesariamente espero con ansias, | No lo espero necesariamente,",neutral,0.9,english6_phrases.txt
english6_phrases_005,english6_phrases,11.06,12.92,1.86,but I had to because my character,pero tuve que hacerlo porque mi letra,10,13,3,pero tuve que hacerlo porque mi carácter | pero tenía que hacerlo porque mi carácter | Pero tuve que hacerlo porque mi carácter | pero tuve que hacerlo porque mi personaje,sadness,0.61,english6_phrases.txt
english6_phrases_006,english6_phrases,12.92,14.42,1.5,"is supposed to be a tennis pro,","se supone que es un maestro del tenis,",9,13,4,"se supone que es un profesional del tenis, | Se supone que es un profesional del tenis, | se supone que sea un profesional del tenis, | se supone que es un profesional de tenis,",surprise,0.5,english6_phrases.txt
english6_phrases_007,english6_phrases,14.42,18.5,4.08,"and clearly I'm not giving tennis pro, right, yet.","Y claro no voy a dar tenis maestro bien, aún.",12,14,2,"Y claramente no voy a dar tenis profesional, bien, aún. | Y claramente no estoy dando tenis profesional, bien, aún. | Y claramente no voy a dar tenis profesional, bien, todavía. | y claramente no voy a dar tenis profesional, bien, todavía.",neutral,0.78,english6_phrases.txt
english6_phrases_008,english6_phrases,18.5,20.26,1.76,We had an incredible team of people,Tuvimos un increíble equipo de gente.,11,12,1,Tuvimos un equipo increíble de gente. | Teníamos un equipo increíble de gente. | Teníamos un increíble equipo de gente. | Tuvimos un equipo increíble de gente,joy,0.36,english6_phrases.txt
english6_phrases_009,english6_phrases,20.26,21.26,1.0,"that we got to learn from,","que tenemos que aprender,",6,7,1,"que debemos aprender de, | que tenemos que aprender de, | Que tenemos que aprender de, | que tenemos que aprender de",neutral,0.82,english6_phrases.txt
english6_phrases_010,english6_phrases,21.26,23.54,2.28,"but I was with Josh and Mike every day,","Pero estaba con Josh y Mike todos los días,",10,13,3,"pero estaba con Josh y Mike todos los días, | Pero estuve con Josh y Mike todos los días, | Pero estaba con Josh y Mike todos los días. | pero estuve con Josh y Mike todos los días,",sadness,0.35,english6_phrases.txt
english6_phrases_011,english6_phrases,23.54,27.36,3.82,and they were the reason that I was able to.,Y ellos fueron la razón por la que fui igual,11,12,1,Y ellos fueron la razón por la que fui capaz. | y ellos fueron la razón por la que fui capaz. | Y fueron la razón por la que pude hacerlo. | y fueron la razón por la que pude hacerlo.,joy,0.71,english6_phrases.txt
