phrase_id,clip_id,phrase_start,phrase_end,phrase_duration,english,best_spanish,english_syllables,spanish_syllables,syllable_diff,alternatives,emotion,emotion_confidence,source_file
english9_phrases_001,english9_phrases,0.0,2.74,2.74,"Comfort meal, I would just go for Cuban food,","bienestar yo sólo iría por cena cubana,",10,13,3,"Comodidad, yo sólo iría por comida cubana, | Comodidad, me gustaría ir por comida cubana, | Comodidad, me gustaría ir a por comida cubana, | Comodidad, me gustaría ir a comer comida cubana,",neutral,0.69,english9_phrases.txt
english9_phrases_002,english9_phrases,2.74,7.2,4.46,probably rice and beans or even fried egg on top of it,probablemente arroz y frijoles o incluso huevo frito encima,14,21,7,probablemente arroz y frijoles o incluso huevo frito encima. | Probablemente arroz y frijoles o incluso huevo frito encima. | probablemente arroz y frijoles o incluso huevos fritos encima. | probablemente arroz y frijoles o incluso huevos fritos encima,neutral,0.83,english9_phrases.txt
english9_phrases_003,english9_phrases,7.2,9.68,2.48,or just something simple.,o algo sencillo.,6,6,0,O algo sencillo. | o algo simple. | o sólo algo simple. | o solo algo simple.,neutral,0.97,english9_phrases.txt
english9_phrases_004,english9_phrases,11.44,12.64,1.2,Who do I look up to?,¿A quién le admiro?,6,6,0,¿A quién lo admiro? | ¿A quién admiro yo? | ¿A quién admiro? | ¿A quién le miro?,neutral,0.39,english9_phrases.txt
english9_phrases_005,english9_phrases,12.64,14.96,2.32,"I'm gonna go with my friends again, my girlfriends.","Voy a ir con mis amigos otra vez, mis novias.",10,12,2,"Voy a ir con mis amigos otra vez, mis amigas. | Voy a ir con mis amigas otra vez, mis novias. | Voy a ir con mis amigas otra vez, mis amigas. | Voy a ir con mis amigos de nuevo, mis novias.",joy,0.76,english9_phrases.txt
english9_phrases_006,english9_phrases,14.96,19.56,4.6,"All these incredible, strong mothers,","Todas esas madres increíbles, fuertes,",9,10,1,"Todas estas madres increíbles, fuertes, | Todas esas madres increíbles y fuertes, | Todas esas madres increíbles y fuertes. | Todas estas increíbles, madres fuertes,",neutral,0.39,english9_phrases.txt
english9_phrases_007,english9_phrases,19.56,23.04,3.48,"hardworking, talented girlfriends I have,","obra duro, novias talentosas tengo,",10,11,1,"trabajo duro, novias talentosas tengo, | trabajo duro, novias talentosas que tengo, | trabajo duro, talentosas novias que tengo, | novias trabajadoras, talentosas que tengo,",joy,0.82,english9_phrases.txt
english9_phrases_008,english9_phrases,23.04,24.8,1.76,they do so much.,Hacen mucho.,4,4,0,Hacen tanto. | hacen mucho. | hacen tanto. | Ellos hacen mucho.,neutral,0.75,english9_phrases.txt
english9_phrases_009,english9_phrases,24.8,26.34,1.54,I really admire them.,Realmente los admiro.,7,7,0,Los admiro de verdad. | Realmente las admiro. | De verdad los admiro. | Las admiro de verdad.,joy,0.51,english9_phrases.txt
english9_phrases_010,english9_phrases,26.34,29.54,3.2,Something that people don't know about me.,Algo que la gente no sabe de mí.,9,11,2,Algo que la gente no sepa de mí. | Algo que la gente no sabe de mi. | Algo que la gente no sabe sobre mí. | Es algo que la gente no sabe de mí.,disgust,0.61,english9_phrases.txt
